Hostname,RunList
INFO:,""
Using,""
configuration,""
from,""
/home/jramasamy/.chef/config.rb,""
abuseshelldal1002.softlayer.local,"role[abuseshell_pag]"
accesshubdal1301.softlayer.local,"role[accesshub]"
accesshubsjc0401.softlayer.local,"role[accesshub]"
accesshubtestsjc0401.softlayer.local,"role[fabric_fleet_base]"
accesshubwdc0701.softlayer.local,"role[accesshub]"
appdbdal1001.softlayer.local,"role[ims_appdb_server]"
appdbdal1002.softlayer.local,"role[ims_appdb_server]"
appdbwdc0401.softlayer.local,"role[ims_appdb_server]"
appdbwdc0402.softlayer.local,"role[ims_appdb_server]"
authams0301.softlayer.local,"role[customer_authslave]"
authche0101.softlayer.local,"role[customer_authslave], recipe[crowdstrike]"
authdal0901.softlayer.local,"role[customer_authslave]"
authdal1001.softlayer.local,"role[customer_authslave], recipe[crowdstrike]"
authdal1201.softlayer.local,"role[customer_authslave], recipe[crowdstrike]"
authdal1301.softlayer.local,"role[customer_authslave], recipe[crowdstrike]"
authdal1401.softlayer.local,"role[customer_authslave]"
authfra0201.softlayer.local,"role[customer_authslave]"
authfra0401.softlayer.local,"role[customer_authslave]"
authfra0501.softlayer.local,"role[customer_authslave]"
authlon0201.softlayer.local,"role[customer_authslave]"
authlon0401.softlayer.local,"role[customer_authslave]"
authlon0501.softlayer.local,"role[customer_authslave]"
authlon0601.softlayer.local,"role[customer_authslave]"
authmad0201.softlayer.local,"role[customer_authslave]"
authmad0401.softlayer.local,"role[customer_authslave]"
authmad0501.softlayer.local,"role[customer_authslave]"
authmasterdal1001a.softlayer.local,"role[customer_authentication_primary]"
authmasterdal1001b.softlayer.local,"role[customer_authentication_primary]"
authmasterdal1001c.softlayer.local,"role[customer_authentication_primary]"
authmasterdal1002a.softlayer.local,"role[customer_authentication_primary], recipe[cutieca::client]"
authmasterdal1002b.softlayer.local,"role[customer_authentication_primary], recipe[cutieca::client]"
authmasterdal1002c.softlayer.local,"role[customer_authentication_primary], recipe[cutieca::client], recipe[softlayer-monitoring]"
authmasterwdc0401a.softlayer.local,"role[customer_authmaster]"
authmasterwdc0401b.softlayer.local,"role[customer_authentication_primary]"
authmasterwdc0402a.softlayer.local,"role[customer_authentication_primary], recipe[cutieca::client]"
